#k-distance frequency[THz]
0.43550457 2.71032355
0.43814334 2.73089504
0.44078211 2.74852481
0.44342085 2.76363469
0.44605962 2.77660663
0.44869839 2.78777923
0.45133713 2.79744793
0.45397590 2.80586778
0.45661464 2.81325772
0.45925341 2.81980570
0.46189218 2.82567422
0.46453092 2.83100636
0.46716969 2.83593227
0.46980846 2.84057682
0.47244720 2.84507516
0.47508597 2.86349492
0.47772474 2.89942961
0.48036348 2.93414083
0.48300225 2.96772091
0.48564102 3.00026981
0.48827976 3.03187848
0.49091853 3.06262596
0.49355730 3.09257773
0.49619604 3.12178435
0.49883481 3.15028048
0.50147358 3.17218916
0.50411232 3.18648362
0.50675109 3.20117100
0.50938986 3.21591422
0.51202860 3.23028924
0.51466737 3.24375255
0.51730614 3.25559930
0.51994488 3.26493047
0.52258365 3.27070113
0.52522242 3.27204831
0.52786116 3.26932049
0.53049993 3.26656631
0.53313870 3.27366240
0.53577744 3.29498890
0.53841621 3.32431970
0.54105498 3.35711889
0.54369372 3.39150016
0.54633249 3.42287051
0.54633249 3.42287051
0.54880676 3.42287051
0.55128102 3.42287051
0.55375529 3.42287051
0.55622956 3.42287051
0.55870383 3.42287051
0.56117810 3.42287051
0.56365237 3.42287051
0.56365237 3.42287051
0.56629114 3.39150016
0.56892988 3.35711889
0.57156865 3.32431970
0.57420742 3.29498890
0.57684616 3.27366240
0.57948493 3.26656631
0.58212370 3.26932049
0.58476244 3.27204831
0.58740121 3.27070113
0.59003998 3.26493047
0.59267872 3.25559930
0.59531749 3.24375255
0.59795626 3.23028924
0.60059500 3.21591422
0.60323377 3.20117100
0.60587254 3.18648362
0.60851128 3.17218916
0.61115005 3.15028048
0.61378882 3.12178435
0.61642756 3.09257773
0.61906633 3.06262596
0.62170509 3.03187848
0.62434384 3.00026981
0.62698261 2.96772091
0.62962137 2.93414083
0.63226012 2.89942961
0.63489889 2.86349492
0.63753765 2.84507516
0.64017640 2.84057682
0.64281517 2.83593227
0.64545393 2.83100636
0.64809268 2.82567422
0.65073144 2.81980570
0.65337021 2.81325772
0.65600896 2.80586778
0.65864772 2.79744793
0.66128647 2.78777923
0.66392524 2.77660663
0.66656400 2.76363469
0.66920275 2.74852481
0.67184152 2.73089504
0.67448028 2.71032355
0.67711903 2.68635712
0.67975779 2.65852462
0.68239656 2.62635491
0.68503531 2.58939685
0.68767407 2.54723847
0.69031284 2.49952304
0.69295159 2.44596023
0.69559035 2.38633277
0.69822912 2.32049952
0.70086787 2.24839618
0.70350663 2.17003454
0.70614540 2.08550041
0.70878415 1.99494991
0.71142291 1.89860375
0.71406168 1.79673929
0.71670042 1.68968059
0.71933919 1.57778737
0.72197796 1.46144377
0.72461670 1.34104795
0.72725547 1.21700337
0.72989424 1.08971199
0.73253298 0.95956961
0.73517175 0.82696302
0.73781052 0.69226876
0.74044926 0.55585308
0.74308803 0.41807269
0.74572680 0.27927624
0.74836554 0.13980602
0.75100431 -0.00000025

0.00000000 1.91704578
0.00247427 1.91704578
0.00494854 1.91704578
0.00742281 1.91704578
0.00989707 1.91704578
0.01237134 1.91704578
0.01484561 1.91704578
0.01731988 1.91704578
0.01731988 1.91704578
0.01993553 1.91865039
0.02255117 1.92345292
0.02516682 1.93142006
0.02778250 1.94249641
0.03039814 1.95660493
0.03301379 1.97364740
0.03562944 1.99350518
0.03824508 2.01604017
0.04086073 2.04109597
0.04347641 2.06849944
0.04609205 2.09806250
0.04870770 2.12958432
0.05132335 2.16285374
0.05393899 2.19765199
0.05655464 2.23375554
0.05917032 2.27093900
0.06178596 2.30897785
0.06440161 2.34765102
0.06701726 2.38674277
0.06963290 2.42604397
0.07224855 2.46535210
0.07486423 2.51553574
0.07747987 2.57939143
0.08009552 2.63745587
0.08271117 2.68991103
0.08532681 2.73697657
0.08794246 2.77889956
0.09055814 2.81594642
0.09317378 2.84839633
0.09578943 2.87653576
0.09840507 2.90065387
0.10102072 2.92103900
0.10363637 2.93797603
0.10625201 2.95174472
0.10886769 2.96261885
0.11148334 2.97086592
0.11409898 2.97674726
0.11671463 2.98051808
0.11933028 2.98242754
0.12194592 2.98271832
0.12456160 2.98162577
0.12717725 2.97937661
0.12979289 2.97618700
0.13240854 2.97226039
0.13502419 2.96778502
0.13763983 2.96293146
0.14025551 2.95785037
0.14287116 2.95267060
0.14548680 2.94749803
0.14810245 2.94241528
0.15071810 2.93748256
0.15333374 2.93273991
0.15594942 2.92821126
0.15856507 2.92391039
0.16118071 2.91984931
0.16379636 2.91604860
0.16641201 2.91254899
0.16902765 2.90942151
0.17164333 2.90677160
0.17425898 2.90473150
0.17687462 2.90343701
0.17949027 2.90299238
0.17949027 2.90299238
0.18196454 2.90299238
0.18443881 2.90299238
0.18691308 2.90299238
0.18938734 2.90299238
0.19186161 2.90299238
0.19433588 2.90299238
0.19681015 2.90299238
0.19681015 2.90299238
0.19942580 2.90343701
0.20204144 2.90473150
0.20465709 2.90677160
0.20727277 2.90942151
0.20988841 2.91254899
0.21250406 2.91604860
0.21511971 2.91984931
0.21773535 2.92391039
0.22035100 2.92821126
0.22296668 2.93273991
0.22558232 2.93748256
0.22819797 2.94241528
0.23081362 2.94749803
0.23342926 2.95267060
0.23604491 2.95785037
0.23866059 2.96293146
0.24127623 2.96778502
0.24389188 2.97226039
0.24650753 2.97618700
0.24912317 2.97937661
0.25173882 2.98162577
0.25435450 2.98271832
0.25697014 2.98242754
0.25958579 2.98051808
0.26220144 2.97674726
0.26481708 2.97086592
0.26743273 2.96261885
0.27004841 2.95174472
0.27266405 2.93797603
0.27527970 2.92103900
0.27789535 2.90065387
0.28051099 2.87653576
0.28312664 2.84839633
0.28574228 2.81594642
0.28835796 2.77889956
0.29097361 2.73697657
0.29358925 2.68991103
0.29620490 2.63745587
0.29882055 2.57939143
0.30143619 2.51553574
0.30405187 2.46535210
0.30666752 2.42604397
0.30928316 2.38674277
0.31189881 2.34765102
0.31451446 2.30897785
0.31713010 2.27093900
0.31974578 2.23375554
0.32236143 2.19765199
0.32497707 2.16285374
0.32759272 2.12958432
0.33020837 2.09806250
0.33282401 2.06849944
0.33543969 2.04109597
0.33805534 2.01604017
0.34067098 1.99350518
0.34328663 1.97364740
0.34590228 1.95660493
0.34851792 1.94249641
0.35113360 1.93142006
0.35374925 1.92345292
0.35636489 1.91865039
0.35898054 1.91704578
0.35898054 1.91704578
0.36161931 1.91867951
0.36425805 1.92357639
0.36689682 1.93172401
0.36953559 1.94310046
0.37217433 1.95767308
0.37481310 1.97539683
0.37745187 1.99621290
0.38009061 2.02004775
0.38272938 2.04681290
0.38536815 2.07640566
0.38800689 2.10870916
0.39064566 2.14357945
0.39328443 2.18072933
0.39592317 2.21910580
0.39856194 2.25835814
0.40120071 2.30107221
0.40383945 2.34616391
0.40647822 2.39275686
0.40911699 2.44061580
0.41175573 2.48961261
0.41439450 2.53963424
0.41703327 2.59057720
0.41967201 2.64235102
0.42231078 2.69488094
0.42494955 2.74810901
0.42758829 2.80199368
0.43022706 2.85650820
0.43286583 2.91163769
0.43550457 2.96737503
0.43814334 3.02371464
0.44078211 3.05916175
0.44342085 3.06562881
0.44605962 3.07108645
0.44869839 3.07551684
0.45133713 3.07894559
0.45397590 3.08144354
0.45661464 3.08312506
0.45925341 3.08414494
0.46189218 3.08469386
0.46453092 3.08499211
0.46716969 3.08528136
0.46980846 3.08581452
0.47244720 3.08684385
0.47508597 3.08860827
0.47772474 3.09132089
0.48036348 3.09515832
0.48300225 3.10025274
0.48564102 3.10668769
0.48827976 3.11449720
0.49091853 3.12366770
0.49355730 3.13414115
0.49619604 3.14581827
0.49883481 3.15856050
0.50147358 3.17808468
0.50411232 3.20519740
0.50675109 3.23160315
0.50938986 3.25726895
0.51202860 3.28214526
0.51466737 3.30616666
0.51730614 3.32925261
0.51994488 3.35130824
0.52258365 3.37222483
0.52522242 3.39187897
0.52786116 3.41012870
0.53049993 3.42680139
0.53313870 3.44165901
0.53577744 3.45429093
0.53841621 3.46372701
0.54105498 3.46680163
0.54369372 3.45443588
0.54633249 3.42781665
0.54633249 3.42781665
0.54880676 3.42781665
0.55128102 3.42781665
0.55375529 3.42781665
0.55622956 3.42781665
0.55870383 3.42781665
0.56117810 3.42781665
0.56365237 3.42781665
0.56365237 3.42781665
0.56629114 3.45443588
0.56892988 3.46680163
0.57156865 3.46372701
0.57420742 3.45429093
0.57684616 3.44165901
0.57948493 3.42680139
0.58212370 3.41012870
0.58476244 3.39187897
0.58740121 3.37222483
0.59003998 3.35130824
0.59267872 3.32925261
0.59531749 3.30616666
0.59795626 3.28214526
0.60059500 3.25726895
0.60323377 3.23160315
0.60587254 3.20519740
0.60851128 3.17808468
0.61115005 3.15856050
0.61378882 3.14581827
0.61642756 3.13414115
0.61906633 3.12366770
0.62170509 3.11449720
0.62434384 3.10668769
0.62698261 3.10025274
0.62962137 3.09515832
0.63226012 3.09132089
0.63489889 3.08860827
0.63753765 3.08684385
0.64017640 3.08581452
0.64281517 3.08528136
0.64545393 3.08499211
0.64809268 3.08469386
0.65073144 3.08414494
0.65337021 3.08312506
0.65600896 3.08144354
0.65864772 3.07894559
0.66128647 3.07551684
0.66392524 3.07108645
0.66656400 3.06562881
0.66920275 3.05916175
0.67184152 3.02371464
0.67448028 2.96737503
0.67711903 2.91163769
0.67975779 2.85650820
0.68239656 2.80199368
0.68503531 2.74810901
0.68767407 2.69488094
0.69031284 2.64235102
0.69295159 2.59057720
0.69559035 2.53963424
0.69822912 2.48961261
0.70086787 2.44061580
0.70350663 2.39275686
0.70614540 2.34616391
