#k-distance eigenvalue[eV]
2.37623546 -8.47317025
2.44416523 -8.62327025
2.51209503 -8.82327025
2.58002481 -9.02857025
2.64795459 -9.20017025
2.71588439 -9.31167025
2.78381417 -9.34997025

0.00000000 -9.25657025
0.07353615 -9.24617025
0.14707228 -9.21607025
0.22060842 -9.16977025
0.29414457 -9.11377025
0.36768070 -9.05787025
0.44121685 -9.01497025
0.51475300 -8.99597025
0.58828913 -9.00147025
0.58828913 -9.00147025
0.65365459 -8.98887025
0.71902002 -8.96227025
0.78438549 -8.90387025
0.84975095 -8.80247025
0.91511641 -8.65547025
0.98048188 -8.46807025
1.04584734 -8.25297025
1.11121277 -8.02917025
1.17657824 -7.81877025
1.24194370 -7.63797025
1.30730916 -7.48997025
1.37267463 -7.36947025
1.43804009 -7.27047025
1.50340556 -7.18987025
1.56877099 -7.12697025
1.63413645 -7.08207025
1.69950192 -7.05527025
1.76486738 -7.04627025
1.76486738 -7.04627025
1.83279716 -7.05597025
1.90072696 -7.08497025
1.96865674 -7.13367025
2.03658652 -7.20247025
2.10451632 -7.29237025
2.17244610 -7.40687025
2.24037588 -7.55427025
2.30830568 -7.74737025
2.37623546 -7.99417025
2.44416523 -8.28207025
2.51209503 -8.57907025
2.58002481 -8.85007025
2.64795459 -9.06677025
2.71588439 -9.20757025
2.78381417 -9.25657025

0.00000000 -7.76167025
0.07353615 -7.74487025
0.14707228 -7.69497025
0.22060842 -7.61347025
0.29414457 -7.50367025
0.36768070 -7.37227025
0.44121685 -7.23407025
0.51475300 -7.12517025
0.58828913 -7.09187025
0.58828913 -7.09187025
0.65365459 -7.09807025
0.71902002 -7.08927025
0.78438549 -7.04367025
0.84975095 -6.95547025
0.91511641 -6.82927025
0.98048188 -6.78377025
1.04584734 -6.73537025
1.11121277 -6.63427025
1.17657824 -6.47037025
1.24194370 -6.24937025
1.30730916 -6.00967025
1.37267463 -5.82467025
1.43804009 -5.74017025
1.50340556 -5.72197025
1.56877099 -5.72717025
1.63413645 -5.73577025
1.69950192 -5.74157025
1.76486738 -5.74347025
1.76486738 -5.74347025
1.83279716 -5.74137025
1.90072696 -5.73547025
1.96865674 -5.72787025
2.03658652 -5.72867025
2.10451632 -5.77017025
2.17244610 -5.92247025
2.24037588 -6.21207025
2.30830568 -6.55127025
2.37623546 -6.86307025
2.44416523 -7.12317025
2.51209503 -7.33717025
2.58002481 -7.51257025
2.64795459 -7.64697025
2.71588439 -7.73237025
2.78381417 -7.76167025

0.00000000 -6.41827025
0.07353615 -6.41847025
0.14707228 -6.42037025
0.22060842 -6.42757025
0.29414457 -6.44497025
0.36768070 -6.47967025
0.44121685 -6.55897025
0.51475300 -6.69067025
0.58828913 -6.74627025
0.58828913 -6.74627025
0.65365459 -6.70487025
0.71902002 -6.69107025
0.78438549 -6.73667025
0.84975095 -6.77357025
0.91511641 -6.79257025
0.98048188 -6.67907025
1.04584734 -6.52477025
1.11121277 -6.36947025
1.17657824 -6.18167025
1.24194370 -5.93327025
1.30730916 -5.64627025
1.37267463 -5.58267025
1.43804009 -5.62007025
1.50340556 -5.65977025
1.56877099 -5.69447025
1.63413645 -5.72117025
1.69950192 -5.73777025
1.76486738 -5.74347025
1.76486738 -5.74347025
1.83279716 -5.73727025
1.90072696 -5.71907025
1.96865674 -5.68897025
2.03658652 -5.64777025
2.10451632 -5.59637025
2.17244610 -5.53607025
2.24037588 -5.78877025
2.30830568 -6.11747025
2.37623546 -6.34287025
2.44416523 -6.45437025
2.51209503 -6.48157025
2.58002481 -6.46797025
2.64795459 -6.44437025
2.71588439 -6.42547025
2.78381417 -6.41827025

0.00000000 -5.31597025
0.07353615 -5.34167025
0.14707228 -5.41707025
0.22060842 -5.58517025
0.29414457 -5.87217025
0.36768070 -6.18447025
0.44121685 -6.41827025
0.51475300 -6.57617025
0.58828913 -6.57827025
0.58828913 -6.57827025
0.65365459 -6.62907025
0.71902002 -6.57197025
0.78438549 -6.38757025
0.84975095 -6.15407025
0.91511641 -5.91577025
0.98048188 -5.85457025
1.04584734 -5.79597025
1.11121277 -5.66117025
1.17657824 -5.50787025
1.24194370 -5.49177025
1.30730916 -5.49917025
1.37267463 -5.28857025
1.43804009 -5.10287025
1.50340556 -5.05747025
1.56877099 -5.06087025
1.63413645 -5.07457025
1.69950192 -5.08597025
1.76486738 -5.09017025
1.76486738 -5.09017025
1.83279716 -5.08567025
1.90072696 -5.07347025
1.96865674 -5.05977025
2.03658652 -5.06137025
2.10451632 -5.13697025
2.17244610 -5.41237025
2.24037588 -5.46877025
2.30830568 -5.39697025
2.37623546 -5.46207025
2.44416523 -5.62147025
2.51209503 -5.70057025
2.58002481 -5.68787025
2.64795459 -5.59557025
2.71588439 -5.45037025
2.78381417 -5.31597025

0.00000000 -5.21117025
0.07353615 -5.22117025
0.14707228 -5.26187025
0.22060842 -5.42577025
0.29414457 -5.78677025
0.36768070 -6.13787025
0.44121685 -6.41787025
0.51475300 -6.51537025
0.58828913 -6.57827025
0.58828913 -6.57827025
0.65365459 -6.49927025
0.71902002 -6.38167025
0.78438549 -6.22837025
0.84975095 -6.05757025
0.91511641 -5.88597025
0.98048188 -5.59427025
1.04584734 -5.50397025
1.11121277 -5.45627025
1.17657824 -5.38767025
1.24194370 -5.18347025
1.30730916 -4.98737025
1.37267463 -4.82747025
1.43804009 -4.57887025
1.50340556 -4.20747025
1.56877099 -3.81667025
1.63413645 -3.47537025
1.69950192 -3.29597025
1.76486738 -3.27357025
1.76486738 -3.27357025
1.83279716 -3.30257025
1.90072696 -3.50737025
1.96865674 -3.88207025
2.03658652 -4.31377025
2.10451632 -4.72597025
2.17244610 -4.98657025
2.24037588 -5.09897025
2.30830568 -5.25997025
2.37623546 -5.32387025
2.44416523 -5.25347025
2.51209503 -5.19017025
2.58002481 -5.13827025
2.64795459 -5.10077025
2.71588439 -5.07857025
2.78381417 -5.21117025

0.00000000 -5.07127025
0.07353615 -5.07377025
0.14707228 -5.12257025
0.22060842 -5.31357025
0.29414457 -5.50717025
0.36768070 -5.75547025
0.44121685 -6.00437025
0.51475300 -6.19127025
0.58828913 -6.26327025
0.58828913 -6.26327025
0.65365459 -6.20607025
0.71902002 -6.06347025
0.78438549 -5.88457025
0.84975095 -5.70567025
0.91511641 -5.62257025
0.98048188 -5.57467025
1.04584734 -5.28927025
1.11121277 -4.98117025
1.17657824 -4.86497025
1.24194370 -4.92587025
1.30730916 -4.92527025
1.37267463 -4.80237025
1.43804009 -4.53087025
1.50340556 -4.16777025
1.56877099 -3.78547025
1.63413645 -3.44237025
1.69950192 -3.29407025
1.76486738 -3.27357025
1.76486738 -3.27357025
1.83279716 -3.29097025
1.90072696 -3.46637025
1.96865674 -3.83487025
2.03658652 -4.24467025
2.10451632 -4.61197025
2.17244610 -4.83697025
2.24037588 -4.96907025
2.30830568 -4.98727025
2.37623546 -4.92767025
2.44416523 -4.85467025
2.51209503 -4.79797025
2.58002481 -4.79547025
2.64795459 -4.89617025
2.71588439 -5.06637025
2.78381417 -5.07127025

0.00000000 -4.63817025
0.07353615 -4.76947025
0.14707228 -5.03537025
0.22060842 -5.21797025
0.29414457 -5.25967025
0.36768070 -5.24407025
0.44121685 -5.18907025
0.51475300 -5.10607025
0.58828913 -5.00667025
0.58828913 -5.00667025
0.65365459 -5.11067025
0.71902002 -5.23537025
0.78438549 -5.36807025
0.84975095 -5.47577025
0.91511641 -5.42527025
0.98048188 -5.21937025
1.04584734 -4.97477025
1.11121277 -4.78047025
1.17657824 -4.67807025
1.24194370 -4.39507025
1.30730916 -4.20137025
1.37267463 -4.00677025
1.43804009 -3.77047025
1.50340556 -3.58267025
1.56877099 -3.45627025
1.63413645 -3.35907025
1.69950192 -3.20397025
1.76486738 -3.12217025
1.76486738 -3.12217025
1.83279716 -3.21227025
1.90072696 -3.34267025
1.96865674 -3.44677025
2.03658652 -3.61437025
2.10451632 -3.83167025
2.17244610 -4.05327025
2.24037588 -4.21097025
2.30830568 -4.28177025
2.37623546 -4.31017025
2.44416523 -4.34807025
2.51209503 -4.44567025
2.58002481 -4.52807025
2.64795459 -4.58857025
2.71588439 -4.62567025
2.78381417 -4.63817025

0.00000000 -4.59217025
0.07353615 -4.55137025
0.14707228 -4.54657025
0.22060842 -4.56237025
0.29414457 -4.69197025
0.36768070 -4.78837025
0.44121685 -4.85257025
0.51475300 -4.91837025
0.58828913 -5.00667025
0.58828913 -5.00667025
0.65365459 -4.91557025
